	name	lenght	energy	x	y	z	dx	dy	dz	
	DeltaE	12498.015480764006	96720969.15542738	0.00032555801373271775	-0.031950934080223654	-12498.015480714486	9.269710675912733e-07	-3.0094609629227134e-06	-0.9999999999950404	
	Epair	12503.486165984688	96719397.49367264	0.00033074416944965825	-0.031967163803456655	-12503.486165935143	9.890531643551437e-07	-2.9395069751904973e-06	-0.999999999995189	
	Epair	12703.296990933619	96717087.99637924	0.000508996941372198	-0.032603455690547935	-12703.29699088298	8.993476666569965e-07	-3.5210017872259923e-06	-0.9999999999933953	
	NuclInt	12923.423268513377	96682205.71098098	0.0007102957855931141	-0.033404989519645566	-12923.423268461187	6.253204490886324e-07	-3.731064532947442e-06	-0.9999999999928425	
	Epair	13235.375445785776	96677638.79980136	0.0009032999725324052	-0.03458196722823209	-13235.375445731304	8.499869710351638e-07	-3.7644835650539726e-06	-0.9999999999925514	
	Epair	13681.474519478932	96674632.63645008	0.0013462690199980945	-0.036200804267220006	-13681.474519421303	1.247559477997582e-06	-3.497105061523952e-06	-0.9999999999931052	
	Epair	14178.223299610272	96634757.06344812	0.0019444397123673214	-0.03785825119041909	-14178.223299549516	8.887979628824903e-07	-3.3533303262646472e-06	-0.9999999999939808	
	Epair	14574.029850589886	96632656.44546787	0.0021781157361408783	-0.03915983181333658	-14574.02985052692	6.628800887179292e-07	-3.21378361571858e-06	-0.9999999999946142	
	Epair	15803.03809354718	96627743.50974187	0.003120188023003064	-0.043530260387654486	-15803.03809347608	8.700694380359085e-07	-3.0205451514556378e-06	-0.9999999999950577	
	Epair	16079.25917060631	96524062.36042678	0.0033830774998013366	-0.044280438054709395	-16079.259170534064	1.021819061352228e-06	-2.8030246696782986e-06	-0.9999999999955476	
	Epair	16325.834051487665	96522814.5674291	0.0036518615450939237	-0.04499319543894391	-16325.834051414242	1.3658800034698281e-06	-3.0921156603068873e-06	-0.9999999999942847	
	DeltaE	17444.431757038157	96519511.70027548	0.005363193777746751	-0.04826772964144699	-17444.43175695863	1.5084442521117379e-06	-2.062989109865425e-06	-0.9999999999967324	
	DeltaE	17488.30681226531	96518985.9369602	0.005431820388605547	-0.048359308430434705	-17488.30681218563	1.7250766495357626e-06	-1.8783015924215974e-06	-0.999999999996746	
	Epair	18105.129723840746	96505229.44902644	0.006495508943782407	-0.049299017643734504	-18105.129723759434	1.574611853036376e-06	-1.036857584190516e-06	-0.9999999999982208	
	DeltaE	18272.423545372083	96503738.22461154	0.00677171200677329	-0.04948522728210592	-18272.423545290436	1.8472685409718484e-06	-1.0611963251996457e-06	-0.9999999999977287	
	Epair	18506.570812185328	96448838.89305079	0.007271444415834575	-0.04976124837408838	-18506.570812102982	2.2612628649814865e-06	-1.1509563334294755e-06	-0.999999999996779	
	Epair	19788.633433577637	96426859.65273568	0.009063823707366435	-0.05121018407130052	-19788.633433493218	1.2492715859651074e-06	-1.5815886223722518e-06	-0.9999999999979668	
	Epair	20061.039295928273	96423766.41771051	0.00934193094293289	-0.05165026527748783	-20061.039295843355	7.671935621819766e-07	-1.2847644173168337e-06	-0.9999999999988782	
	Epair	20266.43853078337	95979491.15093748	0.009467351301786662	-0.05193278011959037	-20266.43853069822	5.720837472755413e-07	-1.2100499859840177e-06	-0.999999999999102	
